HomeTeam,AwayTeam,HomeGoalCount,AwayGoalCount,BTTS,OverUnder
Aldershot Town,Chesterfield,0,2,0,0
Barnet,Notts County,0,5,0,1
Halifax Town,Maidenhead United,1,2,1,1
King's Lynn Town,Southend United,0,1,0,0
Stockport County,Dagenham & Redbridge,1,3,1,1
Torquay United,Altrincham,1,3,1,1
Wealdstone,Woking,1,2,1,1
Weymouth,Boreham Wood,0,2,0,0
Solihull Moors,Wrexham,2,2,1,1
Boreham Wood,Aldershot Town,1,0,0,0
Chesterfield,Wealdstone,2,0,0,0
Dagenham & Redbridge,Bromley,4,2,1,1
Eastleigh,Wrexham,0,2,0,0
Grimsby Town,Weymouth,1,0,0,0
Maidenhead United,Dover Athletic,2,0,0,0
Notts County,Torquay United,1,1,1,0
Solihull Moors,Barnet,1,1,1,0
Woking,Halifax Town,2,3,1,1
Yeovil Town,King's Lynn Town,1,2,1,1
Southend United,Stockport County,0,1,0,0
Aldershot Town,Yeovil Town,1,2,1,1
Barnet,Dagenham & Redbridge,0,2,0,0
Bromley,Eastleigh,3,0,0,1
Dover Athletic,Boreham Wood,0,1,0,0
Halifax Town,Altrincham,2,0,0,0
King's Lynn Town,Chesterfield,0,2,0,0
Torquay United,Woking,0,4,0,1
Wealdstone,Southend United,0,0,0,0
Weymouth,Maidenhead United,3,1,1,1
Wrexham,Notts County,1,1,1,0
Stockport County,Grimsby Town,0,0,0,0
Altrincham,Dover Athletic,3,2,1,1
Boreham Wood,Stockport County,0,0,0,0
Chesterfield,Bromley,2,2,1,1
Dagenham & Redbridge,Wealdstone,2,2,1,1
Eastleigh,King's Lynn Town,3,3,1,1
Grimsby Town,Barnet,4,3,1,1
Maidenhead United,Torquay United,3,4,1,1
Notts County,Aldershot Town,3,2,1,1
Solihull Moors,Weymouth,3,4,1,1
Southend United,Wrexham,2,2,1,1
Yeovil Town,Halifax Town,1,0,0,0
Aldershot Town,Solihull Moors,1,2,1,1
Barnet,Eastleigh,1,1,1,0
Bromley,Boreham Wood,2,3,1,1
Dover Athletic,Chesterfield,0,0,0,0
Halifax Town,Southend United,3,1,1,1
Stockport County,Yeovil Town,0,3,0,1
Torquay United,Grimsby Town,1,3,1,1
Wealdstone,Altrincham,1,0,0,0
Weymouth,Notts County,1,1,1,0
Wrexham,Woking,1,0,0,0
King's Lynn Town,Dagenham & Redbridge,1,2,1,1
Boreham Wood,Halifax Town,2,2,1,1
Chesterfield,Barnet,4,2,1,1
Dagenham & Redbridge,Weymouth,4,2,1,1
Eastleigh,Dover Athletic,4,1,1,1
Grimsby Town,Wrexham,3,1,1,1
Maidenhead United,Stockport County,0,2,0,0
Notts County,Wealdstone,3,2,1,1
Solihull Moors,Torquay United,2,1,1,1
Southend United,Aldershot Town,2,3,1,1
Bromley,Barnet,2,0,0,0
Halifax Town,Stockport County,3,0,0,1
Grimsby Town,Eastleigh,2,0,0,0
Notts County,Maidenhead United,1,0,0,0
Solihull Moors,Boreham Wood,3,1,1,1
Torquay United,Southend United,1,0,0,0
Wealdstone,Aldershot Town,2,2,1,1
Wrexham,Dagenham & Redbridge,1,0,0,0
Yeovil Town,Chesterfield,0,2,0,0
Weymouth,Dover Athletic,1,1,1,0
Dover Athletic,Solihull Moors,0,0,0,0
Aldershot Town,Halifax Town,0,1,0,0
Altrincham,Notts County,1,0,0,0
Barnet,Weymouth,3,1,1,1
Boreham Wood,Yeovil Town,2,1,1,1
Dagenham & Redbridge,Solihull Moors,5,1,1,1
Dover Athletic,Bromley,0,1,0,0
Eastleigh,Woking,3,2,1,1
King's Lynn Town,Wealdstone,0,1,0,0
Maidenhead United,Grimsby Town,1,1,1,0
Stockport County,Wrexham,2,1,1,1
Chesterfield,Torquay United,2,2,1,1
Bromley,Grimsby Town,3,1,1,1
Altrincham,King's Lynn Town,4,1,1,1
Woking,Chesterfield,3,1,1,1
Barnet,Halifax Town,0,0,0,0
Dagenham & Redbridge,Altrincham,2,3,1,1
Grimsby Town,Dover Athletic,6,0,0,1
Maidenhead United,King's Lynn Town,2,3,1,1
Notts County,Woking,1,4,1,1
Solihull Moors,Southend United,2,0,0,0
Torquay United,Wealdstone,5,0,0,1
Weymouth,Stockport County,1,2,1,1
Eastleigh,Boreham Wood,1,1,1,0
Altrincham,Grimsby Town,2,3,1,1
Boreham Wood,Torquay United,2,0,0,0
Bromley,Weymouth,3,0,0,1
Dover Athletic,Aldershot Town,1,2,1,1
Halifax Town,Notts County,3,2,1,1
King's Lynn Town,Barnet,1,1,1,0
Southend United,Eastleigh,1,0,0,0
Wealdstone,Solihull Moors,0,0,0,0
Woking,Dagenham & Redbridge,1,0,0,0
Wrexham,Chesterfield,1,1,1,0
Yeovil Town,Maidenhead United,0,0,0,0
Altrincham,Maidenhead United,2,0,0,0
Boreham Wood,Dagenham & Redbridge,2,0,0,0
Bromley,Torquay United,2,0,0,0
Dover Athletic,Barnet,1,2,1,1
Halifax Town,Weymouth,2,0,0,0
King's Lynn Town,Solihull Moors,0,1,0,0
Southend United,Chesterfield,0,4,0,1
Stockport County,Aldershot Town,1,0,0,0
Wealdstone,Eastleigh,1,2,1,1
Woking,Grimsby Town,0,1,0,0
